source,match_score,match_type,ein,code,code_type,hospital_name,hpt_payer,hpt_plan,hpt_setting,hpt_rate,tic_payer,tic_network,tic_billing_class,tic_rate,rate_delta,rate_delta_pct
both,80.0,high_confidence,131624096,43239,CPT,The Mount Sinai Hospital,Aetna,Signature Administrators,outpatient,3740.91,aetna,open-access-managed-choice,professional,3703.0,-37.909999999999854,-1.0133897901847373
both,80.0,high_confidence,131624096,43239,CPT,The Mount Sinai Hospital,United Healthcare,All Payer,outpatient,6438.0,unitedhealthcare,choice-plus,institutional,6438.0,0.0,0.0
both,80.0,high_confidence,131624096,872,MSDRG,The Mount Sinai Hospital,Aetna,Medicare,inpatient,13708.2,aetna,open-access-managed-choice,institutional,13365.0,-343.2000000000007,-2.503610977371214
both,80.0,high_confidence,131740114,43239,CPT,Montefiore Medical Center,Aetna,ASA,outpatient,4859.0,aetna,open-access-managed-choice,professional,4700.0,-159.0,-3.2722782465527884
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarepos1159,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarepos1159,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,geha1067,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,coresource1642,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaglobalnationaltransplant(hbonly)1437,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnastudentplan1008,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,chesterfieldresourcesinc1641,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnapos1009,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarechoice1291,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcareppo1160,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,chesterfieldresourcesinc1641,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaopenaccesshmo1414,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarehmo1156,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,geha1067,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarestudentresources1405,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnappo1010,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnapos1009,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,christianbrothers1640,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnasignatureadministratorsppo1417,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,131740114,99283,CPT,Montefiore Medical Center,United,Empire Plan,both,112.51,unitedhealthcare,choice-plus,professional,111.76,-0.75,-0.6666074126744289
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnahmo1005,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnasignatureadministratorsppo1417,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,chesterfieldresourcesinc1641,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,wellnet1755,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnappo1010,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,geha1067,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarechoicenslij1773,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,coresource1642,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnasignatureadministratorsppo1417,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,wellnet1755,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnasignatureadministratorsppo1417,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,christianbrothers1640,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarehmo1156,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,131740114,99283,CPT,Montefiore Medical Center,Aetna,Medicare,both,79.79,aetna,open-access-managed-choice,professional,77.29,-2.5,-3.1332247148765506
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,nipponlife-aetna1394,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnapos1009,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,131740114,99283,CPT,Montefiore Medical Center,Aetna,Commercial,both,261.59,aetna,open-access-managed-choice,professional,267.0,5.410000000000025,2.0681218701020776
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaopenaccesshmo1414,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,nipponlife-aetna1394,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,geha1067,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaopenaccesshmo1414,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnameritainhealth1444,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,wellnet1755,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaopenaccesshmo1414,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,131740114,43239,CPT,Montefiore Medical Center,Aetna,Medicare,both,157.52,aetna,open-access-managed-choice,professional,153.66,-3.8600000000000136,-2.4504824784154478
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnameritainhealth1444,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnappo1010,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarenavigate1404,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,christianbrothers1640,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaglobalnationaltransplant(hbonly)1437,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnahmo1005,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,coresource1642,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,chesterfieldresourcesinc1641,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,131740114,43239,CPT,Montefiore Medical Center,Aetna,Medicare,both,157.52,aetna,open-access-managed-choice,professional,153.66,-3.8600000000000136,-2.4504824784154478
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnaglobalnationaltransplant(hbonly)1437,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,aetnaglobalnationaltransplant(hbonly)1437,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnastudentplan1008,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcareppo1160,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcareinde1157,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnahmo1005,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,starmark1643,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,umr1323,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnameritainhealth1444,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,coresource1642,both,2490.0,aetna,open-access-managed-choice,institutional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,aetnastudentplan1008,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcareepo1155,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,starmark1643,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarechoicenslij1773,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,uhc,unitedhealthcarestudentresources1405,both,7892.93,unitedhealthcare,choice-plus,institutional,7893.0,0.06999999999970896,0.0008868696415616122
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,nipponlife-aetna1394,both,8124.66,aetna,open-access-managed-choice,institutional,8125.0,0.3400000000001455,0.004184790502004336
both,78.0,high_confidence,133971298,99283,CPT,NYU Langone,aetna,nipponlife-aetna1394,both,2490.0,aetna,open-access-managed-choice,professional,2490.0,0.0,0.0
both,78.0,high_confidence,133971298,43239,CPT,NYU Langone,aetna,starmark1643,both,8124.66,aetna,open-access-managed-choice,professional,8125.0,0.3400000000001455,0.004184790502004336
